ResponseID,question,response
R_1mPGG8XbxejBzME,Venom,5.285714286
R_1hytQLW9Et1qqdh,age,2
R_1hytQLW9Et1qqdh,gender,1
R_1hytQLW9Et1qqdh,whereareyoufrom,1
R_1hytQLW9Et1qqdh,timelisteningtomusic,3
R_1hytQLW9Et1qqdh,genderrep,2
R_1hytQLW9Et1qqdh,idealgenderrep,7
R_1hytQLW9Et1qqdh,menrep,1
R_1hytQLW9Et1qqdh,womenrep,2
R_1hytQLW9Et1qqdh,lyrics,5
R_1hytQLW9Et1qqdh,misogynistlyrics,7
R_1hytQLW9Et1qqdh,feministlyrics,1
R_1hytQLW9Et1qqdh,genderrepimportant,6
R_1hytQLW9Et1qqdh,politicallyrics,3
R_1hytQLW9Et1qqdh,FemNeu,1
R_1hytQLW9Et1qqdh,Q1,5.6
R_1hytQLW9Et1qqdh,Q2,4.4
R_1hytQLW9Et1qqdh,Q3,2.2
R_1hytQLW9Et1qqdh,Q4,2.8
R_1hytQLW9Et1qqdh,Q5,5
R_1hytQLW9Et1qqdh,Q6,1.8
R_1hytQLW9Et1qqdh,Q7,4.4
R_1hytQLW9Et1qqdh,Roar,4
R_1hytQLW9Et1qqdh,NotReady_TMN,3
R_1hytQLW9Et1qqdh,Strongeer,4.142857143
R_1hytQLW9Et1qqdh,YouDont_om,3.428571429
R_1hytQLW9Et1qqdh,Grown_woman,4.142857143
R_1Kj0rNWO49Q00C0,age,2
R_1Kj0rNWO49Q00C0,gender,0
R_1Kj0rNWO49Q00C0,whereareyoufrom,1
R_1Kj0rNWO49Q00C0,timelisteningtomusic,2
R_1Kj0rNWO49Q00C0,genderrep,4
R_1Kj0rNWO49Q00C0,idealgenderrep,2
R_1Kj0rNWO49Q00C0,menrep,1
R_1Kj0rNWO49Q00C0,womenrep,1
R_1Kj0rNWO49Q00C0,lyrics,6
R_1Kj0rNWO49Q00C0,misogynistlyrics,6
R_1Kj0rNWO49Q00C0,feministlyrics,3
R_1Kj0rNWO49Q00C0,genderrepimportant,1
R_1Kj0rNWO49Q00C0,politicallyrics,6
R_1Kj0rNWO49Q00C0,FemNeu,0
R_1Kj0rNWO49Q00C0,Q1,1.6
R_1Kj0rNWO49Q00C0,Q2,4
R_1Kj0rNWO49Q00C0,Q3,3.6
R_1Kj0rNWO49Q00C0,Q4,1
R_1Kj0rNWO49Q00C0,Q5,2.8
R_1Kj0rNWO49Q00C0,Q6,3.4
R_1Kj0rNWO49Q00C0,Q7,4
R_1Kj0rNWO49Q00C0,TheLucky_one,2.857142857
R_1Kj0rNWO49Q00C0,LastFriday_night,3.142857143
R_1Kj0rNWO49Q00C0,ThePartys_over,2.857142857
R_1Kj0rNWO49Q00C0,Detrim_stable,2.857142857
R_1Kj0rNWO49Q00C0,Schoolin_life,2.857142857
R_AGLR7HCixCkwPER,age,2
R_AGLR7HCixCkwPER,gender,0
R_AGLR7HCixCkwPER,whereareyoufrom,1
R_AGLR7HCixCkwPER,timelisteningtomusic,2
R_AGLR7HCixCkwPER,genderrep,6
R_AGLR7HCixCkwPER,idealgenderrep,7
R_AGLR7HCixCkwPER,menrep,2
R_AGLR7HCixCkwPER,womenrep,2
R_AGLR7HCixCkwPER,lyrics,5
R_AGLR7HCixCkwPER,misogynistlyrics,1
R_AGLR7HCixCkwPER,feministlyrics,1
R_AGLR7HCixCkwPER,genderrepimportant,2
R_AGLR7HCixCkwPER,politicallyrics,2
R_AGLR7HCixCkwPER,FemNeu,0
R_AGLR7HCixCkwPER,Q1,4
R_AGLR7HCixCkwPER,Q2,3.2
R_AGLR7HCixCkwPER,Q3,4
R_AGLR7HCixCkwPER,Q4,4
R_AGLR7HCixCkwPER,Q5,3.6
R_AGLR7HCixCkwPER,Q6,2.6
R_AGLR7HCixCkwPER,Q7,4
R_AGLR7HCixCkwPER,TheLucky_one,4.142857143
R_AGLR7HCixCkwPER,ThePartys_over,2.857142857
R_AGLR7HCixCkwPER,Ghetto_gospel,4
R_AGLR7HCixCkwPER,Schoolin_life,4.285714286
R_AGLR7HCixCkwPER,Introvert,2.857142857
R_24cjfefYraLyZXx,age,2
R_24cjfefYraLyZXx,gender,1
R_24cjfefYraLyZXx,whereareyoufrom,1
R_24cjfefYraLyZXx,timelisteningtomusic,4
R_24cjfefYraLyZXx,genderrep,5
R_24cjfefYraLyZXx,idealgenderrep,6
R_24cjfefYraLyZXx,menrep,2
R_24cjfefYraLyZXx,womenrep,3
R_24cjfefYraLyZXx,lyrics,6
R_24cjfefYraLyZXx,misogynistlyrics,7
R_24cjfefYraLyZXx,feministlyrics,4
R_24cjfefYraLyZXx,genderrepimportant,6
R_24cjfefYraLyZXx,politicallyrics,5
R_24cjfefYraLyZXx,FemNeu,0
R_24cjfefYraLyZXx,Q1,4.8
R_24cjfefYraLyZXx,Q2,5.2
R_24cjfefYraLyZXx,Q3,4.8
R_24cjfefYraLyZXx,Q4,4.2
R_24cjfefYraLyZXx,Q5,4.6
R_24cjfefYraLyZXx,Q6,6
R_24cjfefYraLyZXx,Q7,4.6
R_24cjfefYraLyZXx,WideOpen_spaces,4.857142857
R_24cjfefYraLyZXx,Work_bitch,4.428571429
R_24cjfefYraLyZXx,Detrim_stable,4.714285714
R_24cjfefYraLyZXx,Ghetto_gospel,4.857142857
R_24cjfefYraLyZXx,Introvert,2.714285714
R_2q9kXvoWIAbCALf,age,2
R_2q9kXvoWIAbCALf,gender,0
R_2q9kXvoWIAbCALf,whereareyoufrom,1
R_2q9kXvoWIAbCALf,timelisteningtomusic,2
R_2q9kXvoWIAbCALf,genderrep,5
R_2q9kXvoWIAbCALf,idealgenderrep,6
R_2q9kXvoWIAbCALf,menrep,2
R_2q9kXvoWIAbCALf,womenrep,4
R_2q9kXvoWIAbCALf,lyrics,5
R_2q9kXvoWIAbCALf,misogynistlyrics,7
R_2q9kXvoWIAbCALf,feministlyrics,5
R_2q9kXvoWIAbCALf,genderrepimportant,4
R_2q9kXvoWIAbCALf,politicallyrics,3
R_2q9kXvoWIAbCALf,FemNeu,0
R_2q9kXvoWIAbCALf,Q1,4.8
R_2q9kXvoWIAbCALf,Q2,5.4
R_2q9kXvoWIAbCALf,Q3,4
R_2q9kXvoWIAbCALf,Q4,4
R_2q9kXvoWIAbCALf,Q5,3.8
R_2q9kXvoWIAbCALf,Q6,1.8
R_2q9kXvoWIAbCALf,Q7,2.8
R_2q9kXvoWIAbCALf,LastFriday_night,4.142857143
R_2q9kXvoWIAbCALf,WideOpen_spaces,3.285714286
R_2q9kXvoWIAbCALf,Work_bitch,2.857142857
R_2q9kXvoWIAbCALf,Detrim_stable,4.571428571
R_2q9kXvoWIAbCALf,Rainbow,4.142857143
R_3DthmnAU1y4SSKi,age,2
R_3DthmnAU1y4SSKi,gender,1
R_3DthmnAU1y4SSKi,whereareyoufrom,1
R_3DthmnAU1y4SSKi,timelisteningtomusic,3
R_3DthmnAU1y4SSKi,genderrep,6
R_3DthmnAU1y4SSKi,idealgenderrep,6
R_3DthmnAU1y4SSKi,menrep,2
R_3DthmnAU1y4SSKi,womenrep,2
R_3DthmnAU1y4SSKi,lyrics,7
R_3DthmnAU1y4SSKi,misogynistlyrics,6
R_3DthmnAU1y4SSKi,feministlyrics,6
R_3DthmnAU1y4SSKi,genderrepimportant,2
R_3DthmnAU1y4SSKi,politicallyrics,2
R_3DthmnAU1y4SSKi,FemNeu,1
R_3DthmnAU1y4SSKi,Q1,1.8
R_3DthmnAU1y4SSKi,Q2,1.4
R_3DthmnAU1y4SSKi,Q3,1.6
R_3DthmnAU1y4SSKi,Q4,1.4
R_3DthmnAU1y4SSKi,Q5,1.4
R_3DthmnAU1y4SSKi,Q6,4.6
R_3DthmnAU1y4SSKi,Q7,6.8
R_3DthmnAU1y4SSKi,The_man,3.142857143
R_3DthmnAU1y4SSKi,Ladies_first,2.285714286
R_3DthmnAU1y4SSKi,GoodOl_BC,3.428571429
R_3DthmnAU1y4SSKi,KeepYa_HU,2.428571429
R_3DthmnAU1y4SSKi,Venom,2.285714286
R_3Dw2RpOrwEui56c,age,2
R_3Dw2RpOrwEui56c,gender,1
R_3Dw2RpOrwEui56c,whereareyoufrom,1
R_3Dw2RpOrwEui56c,timelisteningtomusic,2
R_3Dw2RpOrwEui56c,genderrep,3
R_3Dw2RpOrwEui56c,idealgenderrep,6
R_3Dw2RpOrwEui56c,menrep,1
R_3Dw2RpOrwEui56c,womenrep,1
R_3Dw2RpOrwEui56c,lyrics,6
R_3Dw2RpOrwEui56c,misogynistlyrics,5
R_3Dw2RpOrwEui56c,feministlyrics,5
R_3Dw2RpOrwEui56c,genderrepimportant,1
R_3Dw2RpOrwEui56c,politicallyrics,5
R_3Dw2RpOrwEui56c,FemNeu,0
R_3Dw2RpOrwEui56c,Q1,5.8
R_3Dw2RpOrwEui56c,Q2,4.6
R_3Dw2RpOrwEui56c,Q3,4.2
R_3Dw2RpOrwEui56c,Q4,3.8
R_3Dw2RpOrwEui56c,Q5,4.2
R_3Dw2RpOrwEui56c,Q6,6
R_3Dw2RpOrwEui56c,Q7,4.8
R_3Dw2RpOrwEui56c,TheLucky_one,4.285714286
R_3Dw2RpOrwEui56c,LastFriday_night,4.142857143
R_3Dw2RpOrwEui56c,ThePartys_over,3.857142857
R_3Dw2RpOrwEui56c,Rainbow,4.142857143
R_3Dw2RpOrwEui56c,Schoolin_life,4.571428571
R_1hRb2MmMOHbNo3Y,age,2
R_1hRb2MmMOHbNo3Y,gender,0
R_1hRb2MmMOHbNo3Y,whereareyoufrom,1
R_1hRb2MmMOHbNo3Y,timelisteningtomusic,2
R_1hRb2MmMOHbNo3Y,genderrep,2
R_1hRb2MmMOHbNo3Y,idealgenderrep,6
R_1hRb2MmMOHbNo3Y,menrep,4
R_1hRb2MmMOHbNo3Y,womenrep,5
R_1hRb2MmMOHbNo3Y,lyrics,6
R_1hRb2MmMOHbNo3Y,misogynistlyrics,6
R_1hRb2MmMOHbNo3Y,feministlyrics,6
R_1hRb2MmMOHbNo3Y,genderrepimportant,3
R_1hRb2MmMOHbNo3Y,politicallyrics,5
R_1hRb2MmMOHbNo3Y,FemNeu,1
R_1hRb2MmMOHbNo3Y,Q1,5.2
R_1hRb2MmMOHbNo3Y,Q2,5.2
R_1hRb2MmMOHbNo3Y,Q3,4
R_1hRb2MmMOHbNo3Y,Q4,5.2
R_1hRb2MmMOHbNo3Y,Q5,4.2
R_1hRb2MmMOHbNo3Y,Q6,1.8
R_1hRb2MmMOHbNo3Y,Q7,5.8
R_1hRb2MmMOHbNo3Y,The_man,4.285714286
R_1hRb2MmMOHbNo3Y,NotReady_TMN,3.428571429
R_1hRb2MmMOHbNo3Y,Ladies_first,3.857142857
R_1hRb2MmMOHbNo3Y,Grown_woman,5.285714286
R_1hRb2MmMOHbNo3Y,Venom,5.571428571
R_1HkoASBXXgaw1e4,age,2
R_1HkoASBXXgaw1e4,gender,0
R_1HkoASBXXgaw1e4,whereareyoufrom,1
R_1HkoASBXXgaw1e4,timelisteningtomusic,3
R_1HkoASBXXgaw1e4,genderrep,6
R_1HkoASBXXgaw1e4,idealgenderrep,6
R_1HkoASBXXgaw1e4,menrep,1
R_1HkoASBXXgaw1e4,womenrep,1
R_1HkoASBXXgaw1e4,lyrics,6
R_1HkoASBXXgaw1e4,misogynistlyrics,5
R_1HkoASBXXgaw1e4,feministlyrics,4
R_1HkoASBXXgaw1e4,genderrepimportant,4
R_1HkoASBXXgaw1e4,politicallyrics,3
R_1HkoASBXXgaw1e4,FemNeu,0
R_1HkoASBXXgaw1e4,Q1,5.2
R_1HkoASBXXgaw1e4,Q2,4.2
R_1HkoASBXXgaw1e4,Q3,4.2
R_1HkoASBXXgaw1e4,Q4,4
R_1HkoASBXXgaw1e4,Q5,4.4
R_1HkoASBXXgaw1e4,Q6,1.2
R_1HkoASBXXgaw1e4,Q7,4.4
R_1HkoASBXXgaw1e4,TheLucky_one,4.285714286
R_1HkoASBXXgaw1e4,WideOpen_spaces,3.714285714
R_1HkoASBXXgaw1e4,Detrim_stable,3.857142857
R_1HkoASBXXgaw1e4,Rainbow,4
R_1HkoASBXXgaw1e4,Introvert,3.857142857
R_3ELjEnt9T6USQH4,age,2
R_3ELjEnt9T6USQH4,gender,1
R_3ELjEnt9T6USQH4,whereareyoufrom,1
R_3ELjEnt9T6USQH4,timelisteningtomusic,2
R_3ELjEnt9T6USQH4,genderrep,4
R_3ELjEnt9T6USQH4,idealgenderrep,4
R_3ELjEnt9T6USQH4,menrep,2
R_3ELjEnt9T6USQH4,womenrep,2
R_3ELjEnt9T6USQH4,lyrics,3
R_3ELjEnt9T6USQH4,misogynistlyrics,5
R_3ELjEnt9T6USQH4,feministlyrics,4
R_3ELjEnt9T6USQH4,genderrepimportant,4
R_3ELjEnt9T6USQH4,politicallyrics,4
R_3ELjEnt9T6USQH4,FemNeu,1
R_3ELjEnt9T6USQH4,Q1,4
R_3ELjEnt9T6USQH4,Q2,4
R_3ELjEnt9T6USQH4,Q3,4.2
R_3ELjEnt9T6USQH4,Q4,3
R_3ELjEnt9T6USQH4,Q5,4.6
R_3ELjEnt9T6USQH4,Q6,6
R_3ELjEnt9T6USQH4,Q7,3.4
R_3ELjEnt9T6USQH4,The_man,3.285714286
R_3ELjEnt9T6USQH4,NotReady_TMN,3.571428571
R_3ELjEnt9T6USQH4,Ladies_first,3.571428571
R_3ELjEnt9T6USQH4,GoodOl_BC,4.142857143
R_3ELjEnt9T6USQH4,Venom,3.428571429
R_2D1azMRXNmHALL9,age,2
R_2D1azMRXNmHALL9,gender,1
R_2D1azMRXNmHALL9,whereareyoufrom,1
R_2D1azMRXNmHALL9,timelisteningtomusic,1
R_2D1azMRXNmHALL9,genderrep,4
R_2D1azMRXNmHALL9,idealgenderrep,1
R_2D1azMRXNmHALL9,menrep,1
R_2D1azMRXNmHALL9,womenrep,1
R_2D1azMRXNmHALL9,lyrics,4
R_2D1azMRXNmHALL9,misogynistlyrics,6
R_2D1azMRXNmHALL9,feministlyrics,6
R_2D1azMRXNmHALL9,genderrepimportant,1
R_2D1azMRXNmHALL9,politicallyrics,1
R_2D1azMRXNmHALL9,FemNeu,1
R_2D1azMRXNmHALL9,Q1,3.6
R_2D1azMRXNmHALL9,Q2,4.4
R_2D1azMRXNmHALL9,Q3,4
R_2D1azMRXNmHALL9,Q4,3.8
R_2D1azMRXNmHALL9,Q5,4.2
R_2D1azMRXNmHALL9,Q6,2.8
R_2D1azMRXNmHALL9,Q7,3
R_2D1azMRXNmHALL9,Roar,3.714285714
R_2D1azMRXNmHALL9,Strongeer,3.857142857
R_2D1azMRXNmHALL9,YouDont_om,4.142857143
R_2D1azMRXNmHALL9,KeepYa_HU,3.285714286
R_2D1azMRXNmHALL9,Grown_woman,3.428571429
R_2VBVzVEKWhh1e86,age,2
R_2VBVzVEKWhh1e86,gender,0
R_2VBVzVEKWhh1e86,whereareyoufrom,1
R_2VBVzVEKWhh1e86,timelisteningtomusic,3
R_2VBVzVEKWhh1e86,genderrep,3
R_2VBVzVEKWhh1e86,idealgenderrep,7
R_2VBVzVEKWhh1e86,menrep,1
R_2VBVzVEKWhh1e86,womenrep,5
R_2VBVzVEKWhh1e86,lyrics,6
R_2VBVzVEKWhh1e86,misogynistlyrics,5
R_2VBVzVEKWhh1e86,feministlyrics,5
R_2VBVzVEKWhh1e86,genderrepimportant,5
R_2VBVzVEKWhh1e86,politicallyrics,4
R_2VBVzVEKWhh1e86,FemNeu,0
R_2VBVzVEKWhh1e86,Q1,5
R_2VBVzVEKWhh1e86,Q2,5.4
R_2VBVzVEKWhh1e86,Q3,4.6
R_2VBVzVEKWhh1e86,Q4,4
R_2VBVzVEKWhh1e86,Q5,4.6
R_2VBVzVEKWhh1e86,Q6,1.6
R_2VBVzVEKWhh1e86,Q7,3.4
R_2VBVzVEKWhh1e86,LastFriday_night,4.857142857
R_2VBVzVEKWhh1e86,WideOpen_spaces,4.142857143
R_2VBVzVEKWhh1e86,Work_bitch,3
R_2VBVzVEKWhh1e86,ThePartys_over,3.285714286
R_2VBVzVEKWhh1e86,Schoolin_life,5.142857143
R_eDJm40qii7Cu4q5,age,2
R_eDJm40qii7Cu4q5,gender,0
R_eDJm40qii7Cu4q5,whereareyoufrom,1
R_eDJm40qii7Cu4q5,timelisteningtomusic,3
R_eDJm40qii7Cu4q5,genderrep,2
R_eDJm40qii7Cu4q5,idealgenderrep,7
R_eDJm40qii7Cu4q5,menrep,4
R_eDJm40qii7Cu4q5,womenrep,1
R_eDJm40qii7Cu4q5,lyrics,3
R_eDJm40qii7Cu4q5,misogynistlyrics,4
R_eDJm40qii7Cu4q5,feministlyrics,5
R_eDJm40qii7Cu4q5,genderrepimportant,4
R_eDJm40qii7Cu4q5,politicallyrics,2
R_eDJm40qii7Cu4q5,FemNeu,1
R_eDJm40qii7Cu4q5,Q1,5.2
R_eDJm40qii7Cu4q5,Q2,5.6
R_eDJm40qii7Cu4q5,Q3,5.2
R_eDJm40qii7Cu4q5,Q4,4.2
R_eDJm40qii7Cu4q5,Q5,5.6
R_eDJm40qii7Cu4q5,Q6,1.2
R_eDJm40qii7Cu4q5,Q7,5.8
R_eDJm40qii7Cu4q5,NotReady_TMN,3
R_eDJm40qii7Cu4q5,Strongeer,5
R_eDJm40qii7Cu4q5,GoodOl_BC,4.142857143
R_eDJm40qii7Cu4q5,KeepYa_HU,5.714285714
R_eDJm40qii7Cu4q5,Venom,5.571428571
R_3Esc3cXXJr0LuyY,age,2
R_3Esc3cXXJr0LuyY,gender,0
R_3Esc3cXXJr0LuyY,whereareyoufrom,1
R_3Esc3cXXJr0LuyY,timelisteningtomusic,3
R_3Esc3cXXJr0LuyY,genderrep,3
R_3Esc3cXXJr0LuyY,idealgenderrep,5
R_3Esc3cXXJr0LuyY,menrep,2
R_3Esc3cXXJr0LuyY,womenrep,6
R_3Esc3cXXJr0LuyY,lyrics,6
R_3Esc3cXXJr0LuyY,misogynistlyrics,7
R_3Esc3cXXJr0LuyY,feministlyrics,7
R_3Esc3cXXJr0LuyY,genderrepimportant,6
R_3Esc3cXXJr0LuyY,politicallyrics,6
R_3Esc3cXXJr0LuyY,FemNeu,0
R_3Esc3cXXJr0LuyY,Q1,5.2
R_3Esc3cXXJr0LuyY,Q2,5
R_3Esc3cXXJr0LuyY,Q3,5
R_3Esc3cXXJr0LuyY,Q4,4.4
R_3Esc3cXXJr0LuyY,Q5,5.6
R_3Esc3cXXJr0LuyY,Q6,3.4
R_3Esc3cXXJr0LuyY,Q7,4.4
R_3Esc3cXXJr0LuyY,Work_bitch,5
R_3Esc3cXXJr0LuyY,ThePartys_over,4.857142857
R_3Esc3cXXJr0LuyY,Detrim_stable,5.142857143
R_3Esc3cXXJr0LuyY,Rainbow,4
R_3Esc3cXXJr0LuyY,Ghetto_gospel,4.571428571
R_2c0Lk5l1EjR9To4,age,2
R_2c0Lk5l1EjR9To4,gender,0
R_2c0Lk5l1EjR9To4,whereareyoufrom,1
R_2c0Lk5l1EjR9To4,timelisteningtomusic,3
R_2c0Lk5l1EjR9To4,genderrep,5
R_2c0Lk5l1EjR9To4,idealgenderrep,6
R_2c0Lk5l1EjR9To4,menrep,6
R_2c0Lk5l1EjR9To4,womenrep,6
R_2c0Lk5l1EjR9To4,lyrics,6
R_2c0Lk5l1EjR9To4,misogynistlyrics,6
R_2c0Lk5l1EjR9To4,feministlyrics,5
R_2c0Lk5l1EjR9To4,genderrepimportant,6
R_2c0Lk5l1EjR9To4,politicallyrics,6
R_2c0Lk5l1EjR9To4,FemNeu,1
R_2c0Lk5l1EjR9To4,Q1,5.2
R_2c0Lk5l1EjR9To4,Q2,4.2
R_2c0Lk5l1EjR9To4,Q3,5
R_2c0Lk5l1EjR9To4,Q4,4.8
R_2c0Lk5l1EjR9To4,Q5,5.2
R_2c0Lk5l1EjR9To4,Q6,3.2
R_2c0Lk5l1EjR9To4,Q7,5.4
R_2c0Lk5l1EjR9To4,Roar,5.285714286
R_2c0Lk5l1EjR9To4,NotReady_TMN,3.857142857
R_2c0Lk5l1EjR9To4,Strongeer,4.857142857
R_2c0Lk5l1EjR9To4,Ladies_first,5.428571429
R_2c0Lk5l1EjR9To4,GoodOl_BC,4.142857143
R_2rSc9AemaJ506oz,age,2
R_2rSc9AemaJ506oz,gender,0
R_2rSc9AemaJ506oz,whereareyoufrom,1
R_2rSc9AemaJ506oz,timelisteningtomusic,2
R_2rSc9AemaJ506oz,genderrep,4
R_2rSc9AemaJ506oz,idealgenderrep,6
R_2rSc9AemaJ506oz,menrep,1
R_2rSc9AemaJ506oz,womenrep,2
R_2rSc9AemaJ506oz,lyrics,2
R_2rSc9AemaJ506oz,misogynistlyrics,2
R_2rSc9AemaJ506oz,feministlyrics,2
R_2rSc9AemaJ506oz,genderrepimportant,2
R_2rSc9AemaJ506oz,politicallyrics,1
R_2rSc9AemaJ506oz,FemNeu,0
R_2rSc9AemaJ506oz,Q1,4.2
R_2rSc9AemaJ506oz,Q2,4.4
R_2rSc9AemaJ506oz,Q3,4
R_2rSc9AemaJ506oz,Q4,3.2
R_2rSc9AemaJ506oz,Q5,4.2
R_2rSc9AemaJ506oz,Q6,2.6
R_2rSc9AemaJ506oz,Q7,1.8
R_2rSc9AemaJ506oz,Work_bitch,3.142857143
R_2rSc9AemaJ506oz,ThePartys_over,3.571428571
R_2rSc9AemaJ506oz,Ghetto_gospel,4.142857143
R_2rSc9AemaJ506oz,Schoolin_life,3.428571429
R_2rSc9AemaJ506oz,Introvert,3.142857143
R_1gqCof3DvK3mMzP,age,2
R_1gqCof3DvK3mMzP,gender,1
R_1gqCof3DvK3mMzP,whereareyoufrom,1
R_1gqCof3DvK3mMzP,timelisteningtomusic,3
R_1gqCof3DvK3mMzP,genderrep,3
R_1gqCof3DvK3mMzP,idealgenderrep,2
R_1gqCof3DvK3mMzP,menrep,1
R_1gqCof3DvK3mMzP,womenrep,1
R_1gqCof3DvK3mMzP,lyrics,6
R_1gqCof3DvK3mMzP,misogynistlyrics,2
R_1gqCof3DvK3mMzP,feministlyrics,6
R_1gqCof3DvK3mMzP,genderrepimportant,4
R_1gqCof3DvK3mMzP,politicallyrics,3
R_1gqCof3DvK3mMzP,FemNeu,0
R_1gqCof3DvK3mMzP,Q1,2.4
R_1gqCof3DvK3mMzP,Q2,4
R_1gqCof3DvK3mMzP,Q3,3.4
R_1gqCof3DvK3mMzP,Q4,1.6
R_1gqCof3DvK3mMzP,Q5,3.4
R_1gqCof3DvK3mMzP,Q6,3.2
R_1gqCof3DvK3mMzP,Q7,1.6
R_1gqCof3DvK3mMzP,TheLucky_one,2
R_1gqCof3DvK3mMzP,LastFriday_night,3
R_1gqCof3DvK3mMzP,Detrim_stable,3
R_1gqCof3DvK3mMzP,Schoolin_life,2.857142857
R_1gqCof3DvK3mMzP,Introvert,3.142857143
R_2UY1qDTBuVV7Yxl,age,2
R_2UY1qDTBuVV7Yxl,gender,0
R_2UY1qDTBuVV7Yxl,whereareyoufrom,1
R_2UY1qDTBuVV7Yxl,timelisteningtomusic,2
R_2UY1qDTBuVV7Yxl,genderrep,2
R_2UY1qDTBuVV7Yxl,idealgenderrep,7
R_2UY1qDTBuVV7Yxl,menrep,4
R_2UY1qDTBuVV7Yxl,womenrep,4
R_2UY1qDTBuVV7Yxl,lyrics,6
R_2UY1qDTBuVV7Yxl,misogynistlyrics,6
R_2UY1qDTBuVV7Yxl,feministlyrics,7
R_2UY1qDTBuVV7Yxl,genderrepimportant,5
R_2UY1qDTBuVV7Yxl,politicallyrics,6
R_2UY1qDTBuVV7Yxl,FemNeu,0
R_2UY1qDTBuVV7Yxl,Q1,5.4
R_2UY1qDTBuVV7Yxl,Q2,5.4
R_2UY1qDTBuVV7Yxl,Q3,4.6
R_2UY1qDTBuVV7Yxl,Q4,4.6
